ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
,20260604,1250.0,1290.0,1241.36,1280.0,1275.0,5.0,0.3922,217142.12,27594721.466
,20260605,1273.2,1301.51,1160.0,1179.99,1280.0,-100.01,-7.8133,474740.88,58324832.702
,20260608,1132.79,1179.45,1132.0,1154.99,1179.99,-25.0,-2.1187,336119.84,38923878.724
,20260609,1140.97,1196.16,1126.9,1180.0,1154.99,25.01,2.1654,398930.37,46676010.4583
,20260610,1150.0,1174.0,1128.8,1147.0,1180.0,-33.0,-2.7966,228965.3,26382501.7585
,20260611,1136.0,1174.9,1093.0,1124.0,1147.0,-23.0,-2.0052,305923.59,34558724.4252
,20260612,1182.0,1188.5,1128.18,1149.0,1124.0,25.0,2.2242,346850.7,40003007.2501
,20260615,1175.0,1245.0,1122.0,1245.0,1149.0,96.0,8.3551,342237.42,40751494.5244
,20260616,1240.0,1273.68,1232.46,1248.09,1245.0,3.09,0.2482,232821.86,29091725.5555
,20260617,1228.0,1276.13,1220.05,1276.11,1248.09,28.02,2.245,217562.42,27272022.8891
,20260618,1270.0,1368.5,1268.73,1367.88,1276.11,91.77,7.1914,285516.16,38176552.6987
,20260622,1367.78,1416.88,1343.38,1382.33,1367.88,14.45,1.0564,280332.73,38643675.1463
,20260623,1395.0,1395.0,1300.0,1310.01,1382.33,-72.32,-5.2317,291773.35,38963677.9042
,20260624,1313.61,1344.88,1282.15,1312.18,1310.01,2.17,0.1656,262257.43,34437448.0503
,20260625,1326.0,1345.09,1280.02,1323.4,1312.18,11.22,0.8551,376090.48,49655189.3376
,20260626,1296.0,1296.94,1235.13,1253.89,1323.4,-69.51,-5.2524,352810.98,44480805.0765
,20260629,1239.0,1264.21,1169.49,1220.0,1253.89,-33.89,-2.7028,352899.11,42631770.3471
,20260630,1223.01,1295.6,1218.21,1270.0,1220.0,50.0,4.0984,276782.91,34960563.6032
,20260701,1263.5,1315.57,1208.0,1223.17,1270.0,-46.83,-3.6874,271557.1,34256250.2724
,20260702,1160.0,1198.0,1127.4,1143.0,1223.17,-80.17,-6.5543,317620.24,36721292.9271
,20260703,1130.0,1188.01,1115.0,1116.0,1143.0,-27.0,-2.3622,328617.91,37702362.9488
